# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
19250 42.3506 41.8712 42.2184 126.44
19500 42.5496 43.0306 42.8472 128.427
19750 43.059 44.4214 43.0346 130.515
20000 43.1306 44.9282 43.3704 131.429
20250 43.298 45.2015 43.5417 132.041
20500 44.1442 45.421 44.2766 133.842
20750 44.5681 46.1003 45.1295 135.798
21000 45.5426 47.3716 45.2729 138.187
21250 46.4771 48.7414 45.6721 140.891
21500 46.572 49.1723 46.6225 142.367
21750 46.676 49.2795 47.351 143.307
22000 47.1369 49.4667 47.6654 144.269
22250 47.2866 50.3225 48.1677 145.777
22500 48.1066 51.4377 49.2141 148.758
22750 48.8837 51.6819 50.1819 150.747
23000 49.7198 51.6761 50.657 152.053
23250 50.8291 52.0877 51.2697 154.186
23500 50.6225 52.7986 52.3088 155.73
23750 50.7899 52.3633 52.6412 155.794
24000 51.3183 52.9863 52.3043 156.609
24250 52.3295 54.2037 52.6076 159.141
24500 52.6435 55.0989 53.4489 161.191
24750 53.0956 55.6775 53.5821 162.355
25000 54.0704 56.3637 53.7081 164.142
25250 54.093 56.6995 53.7512 164.544
25500 54.4244 57.3453 53.6207 165.39
25750 55.6501 57.8399 54.4611 167.951
26000 56.5269 58.7716 55.1311 170.43
26250 57.3574 58.6809 56.0044 172.043
26500 57.6129 58.4647 56.8076 172.885
26750 57.9678 58.7311 56.9897 173.689
27000 58.6287 58.6985 57.9174 175.245
27250 58.917 59.2695 58.4014 176.588
27500 59.4937 60.204 59.3674 179.065
27750 60.1211 59.5228 59.578 179.222
28000 60.4104 60.5499 60.0481 181.008
28250 61.1275 60.7934 60.5029 182.424
28500 61.466 61.5354 60.4647 183.466
28750 62.102 61.9928 61.297 185.392
29000 62.0715 62.8476 61.4228 186.342
29250 63.4805 63.2976 61.3058 188.084
29500 64.4624 64.208 62.298 190.968
29750 65.183 64.3757 64.1683 193.727
30000 65.8104 64.838 65.3585 196.007
30250 66.6749 64.5023 66.1996 197.377
30500 68.1194 64.3499 67.0488 199.518
30750 68.5484 64.6998 67.6747 200.923
31000 69.3323 65.568 68.5941 203.494
31250 70.2761 66.1233 69.6346 206.034
31500 70.7711 66.5286 69.8395 207.139
31750 71.4067 67.3116 69.6517 208.37
32000 72.2656 67.9364 69.4428 209.645
32250 72.9592 68.5976 69.0058 210.563
32500 73.1931 69.2374 69.0235 211.454
32750 73.8372 69.7505 69.4504 213.038
33000 75.0221 70.1972 69.899 215.118
33250 76.0538 70.3421 70.7461 217.142
33500 76.8321 71.3175 71.1877 219.337
33750 76.9031 72.3902 72.4167 221.71
34000 76.6612 72.4777 73.6458 222.785
34250 77.2715 72.9568 74.5574 224.786
34500 77.8326 73.2603 74.0919 225.185
34750 78.8436 74.7848 74.4736 228.102
35000 79.1639 74.925 75.6936 229.783
35250 78.8165 74.9948 76.2543 230.066
35500 79.1454 75.751 77.4267 232.323
35750 79.869 76.1383 78.5066 234.514
36000 80.3938 76.8369 79.9898 237.22
36250 80.8094 77.6804 82.7146 241.204
36500 80.0083 77.4142 83.5918 241.014
36750 80.8409 78.9277 84.5133 244.282
37000 81.4594 79.7219 85.1612 246.343
37250 82.6799 80.2079 86.3838 249.272
37500 83.8183 80.7148 86.8392 251.372
37750 84.4013 81.5288 88.3049 254.235
38000 85.4385 82.2515 87.7951 255.485
38250 85.7715 83.6008 88.6085 257.981
38500 86.3828 84.5854 89.2791 260.247
38750 86.8643 84.548 89.8829 261.295
39000 88.1084 85.5464 90.0829 263.738
39250 88.3552 85.7808 91.2394 265.375
39500 89.4879 85.6785 91.8966 267.063
39750 90.3928 86.8095 92.144 269.346
40000 92.3025 87.0964 91.5111 270.91
40250 94.144 88.7218 91.681 274.547
40500 96.2927 88.9513 91.8877 277.132
40750 98.3784 89.2321 92.3872 279.998
41000 99.4018 89.9295 91.9194 281.251
41250 101.639 90.6482 92.4841 284.771
41500 102.515 90.8871 93.0475 286.45
41750 102.558 91.3791 93.6047 287.542
42000 103.442 91.9185 94.4988 289.86
42250 102.86 92.9931 94.7382 290.591
42500 104.534 93.4335 95.5171 293.484
42750 104.474 93.6731 96.769 294.917
43000 104.136 94.2554 97.2019 295.594
43250 104.319 94.9364 96.5614 295.817
43500 104.257 95.5936 96.8314 296.682
43750 104.581 96.6222 96.1432 297.346
44000 105.674 96.7745 96.8288 299.277
44250 106.932 97.0252 97.7317 301.689
44500 107.593 97.4586 98.4575 303.51
44750 108.416 97.3981 99.324 305.138
45000 109.429 97.5626 99.987 306.979
45250 110.948 97.9167 100.826 309.69
45500 111.473 98.8502 101.381 311.704
45750 111.366 100.238 101.215 312.819
46000 111.567 101.187 101.824 314.577
46250 111.401 102.065 102.881 316.347
46500 111.733 102.343 103.976 318.051
46750 112.408 102.854 104.534 319.796
47000 112.866 103.27 104.358 320.494
47250 113.189 104.048 104.756 321.993
47500 112.518 105.106 105.489 323.112
47750 112.948 105.553 106.037 324.539
48000 113.14 107.21 105.639 325.989
48250 114.53 107.281 106.537 328.348
48500 115.515 108.03 106.242 329.787
48750 116.105 108.71 106.307 331.122
49000 117.065 109.865 106.345 333.275
49250 118.679 110.564 106.587 335.829
49500 119.043 111.828 106.237 337.108
49750 118.391 112.907 107.808 339.106
50000 118.687 111.824 108.891 339.402
50250 120.037 111.334 109.262 340.633
50500 120.391 112.376 109.508 342.275
50750 120.904 112.021 110.078 343.004
51000 121.858 112.136 110.06 344.053
51250 122.045 112.496 109.171 343.713
51500 122.924 113.358 109.271 345.553
51750 123.427 114 109.496 346.922
52000 123.382 114.349 110.671 348.402
52250 123.826 115.16 110.474 349.46
52500 123.518 116.223 111.16 350.901
52750 124.177 117.016 112.888 354.081
53000 125.113 117.169 113.377 355.659
53250 125.345 117.135 115.146 357.626
53500 125.315 117.002 116.082 358.4
53750 125.744 116.833 116.043 358.62
54000 125.378 117.554 115.819 358.751
54250 126.92 117.778 116.361 361.059
54500 129.137 117.527 116.587 363.251
54750 129.53 118.1 117.384 365.014
55000 131.363 117.57 118.604 367.537
55250 132.037 117.881 118.978 368.896
55500 133.259 118.355 119.797 371.411
55750 133.637 117.89 120.383 371.911
56000 134.94 117.171 119.976 372.087
56250 134.978 117.554 120.095 372.627
56500 134.238 117.125 120.112 371.475
56750 134.346 117.909 120.032 372.287
57000 135.504 117.225 121.992 374.721
57250 135.267 117.754 122.32 375.342
57500 136.518 119.646 123.5 379.664
57750 137.627 120.039 123.98 381.645
58000 138.987 121.487 124.705 385.179
58250 139.752 121.859 124.346 385.957
58500 141.136 122.983 125.606 389.725
58750 141.585 123.399 125.316 390.3
59000 143.137 124.887 126.051 394.076
59250 144.951 126.189 126.779 397.92
59500 144.756 126.211 126.655 397.623
59750 145.591 126.657 126.317 398.564
60000 146.888 126.884 126.563 400.334
60250 147.01 127.286 126.555 400.851
60500 148.103 127.56 127.215 402.879
60750 149.745 128.35 129.521 407.616
61000 150.715 128.267 129.541 408.522
61250 150.21 128.787 129.769 408.767
61500 151.053 128.648 129.707 409.408
61750 151.751 129.42 130.526 411.697
62000 151.719 129.918 132.313 413.951
62250 152.712 130.507 133.054 416.273
62500 153.671 131.606 132.875 418.152
62750 154.03 132.227 134.408 420.665
63000 154.975 133.155 134.931 423.061
63250 155.366 132.883 134.249 422.498
63500 156.165 132.622 134.647 423.434
63750 156.491 133.558 134.67 424.719
64000 157.555 134.305 134.839 426.7
64250 157.005 135.003 134.549 426.557
64500 157.401 135.611 135.663 428.675
64750 156.987 136.682 136.011 429.681
65000 158.889 137.256 137.686 433.831
65250 159.395 137.113 137.821 434.329
65500 159.394 137.144 139.017 435.554
65750 159.619 138.001 139.055 436.675
66000 160.843 138.297 138.993 438.133
66250 160.661 139.234 141.335 441.23
66500 161.726 138.534 141.839 442.098
66750 163.569 138.321 142.709 444.599
67000 163.817 139.377 143.571 446.766
67250 165.83 140.249 144.893 450.972
67500 166.92 140.229 145.199 452.349
67750 166.503 141.251 145.499 453.253
68000 168.147 142.523 146.072 456.742
68250 168.403 143.216 145.879 457.498
68500 169.248 145.16 146.404 460.812
68750 171.097 145.512 147.474 464.084
69000 172.093 145.892 147.764 465.749
69250 171.142 145.485 147.549 464.177
69500 172.877 145.808 148.074 466.759
69750 174.263 147.2 148.527 469.99
70000 175.041 147.274 149.446 471.761
70250 175.975 148.277 150.408 474.66
70500 177.855 149.852 151.371 479.078
70750 178.494 150.613 151.829 480.936
71000 179.505 151.863 152.089 483.457
71250 180.899 152.471 152.736 486.107
71500 180.344 153.152 151.663 485.159
71750 181.244 153.765 152.685 487.695
72000 182.203 154.162 152.34 488.704
72250 183.886 154.274 152.456 490.616
72500 184.644 155.074 151.517 491.235
72750 184.789 154.819 151.938 491.546
73000 185.854 155.14 152.264 493.258
73250 187.389 155.847 152.415 495.651
73500 188.441 157.307 152.808 498.556
73750 189.206 157.363 153.397 499.965
74000 188.955 157.73 153.396 500.081
74250 189.308 157.943 153.815 501.066
74500 189.016 158.171 155.492 502.678
74750 189.908 159.155 156.012 505.075
75000 191.427 159.253 157.2 507.88
75250 191.822 160.036 158.142 510
75500 191.959 161.097 159.018 512.074
75750 191.307 161.185 159.462 511.954
76000 190.998 161.724 160.05 512.772
76250 191.986 161.197 160.547 513.73
76500 193.215 162.313 161.252 516.78
76750 193.856 162.886 162.951 519.693
77000 194.017 163.097 163.699 520.813
77250 194.514 163.677 164.75 522.94
77500 195.514 164.008 165.875 525.397
77750 196.295 164.45 165.92 526.666
78000 196.706 165.132 166.442 528.279
78250 197.011 166.2 167.539 530.75
78500 198.625 167.563 168.451 534.639
78750 198.432 167.431 170.512 536.375
79000 198.919 167.623 172.568 539.11
79250 199.675 168.094 172.144 539.913
79500 199.935 167.991 172.787 540.713
79750 201.239 168.504 172.647 542.39
80000 201.525 167.99 172.721 542.235
80250 202.266 168.804 173.166 544.236
80500 203.072 169.707 174.197 546.976
80750 203.229 170.064 174.536 547.829
81000 204.259 170.658 175.393 550.31
81250 204.12 171.494 175.197 550.811
81500 203.989 172.087 175.751 551.827
81750 205.3 171.838 177.03 554.168
82000 206.247 172.066 179.142 557.456
82250 206.139 173.034 180.036 559.21
82500 206.847 174.333 180.729 561.909
82750 207.157 174.304 180.572 562.034
83000 207.555 175.895 180.869 564.319
83250 208.753 176.237 181.498 566.488
83500 208.021 176.813 181.7 566.535
83750 208.152 176.601 183.285 568.037
84000 208.28 177.021 184.007 569.308
84250 208.706 177.51 184.791 571.006
84500 209.832 178.897 184.991 573.72
84750 209.471 179.72 185.695 574.886
85000 210.215 180.544 185.896 576.655
85250 210.212 179.77 186.7 576.682
85500 211.646 179.664 187.77 579.08
85750 212.034 179.988 187.888 579.91
86000 212.512 180.361 188.971 581.844
86250 214.233 181.634 190.754 586.621
86500 214.381 182.473 191.141 587.995
86750 214.54 183.303 191.716 589.558
87000 214.297 183.704 192.02 590.022
87250 215.234 183.689 192.511 591.434
87500 214.511 183.526 192.441 590.478
87750 215.213 183.708 192.614 591.535
88000 216.526 183.23 193.215 592.971
88250 216.486 183.31 194.591 594.387
88500 217.135 184.465 194.514 596.113
88750 217.758 185.668 194.228 597.654
89000 218.051 185.173 194.733 597.957
89250 219.21 185.714 194.527 599.452
89500 220.058 185.852 195.711 601.62
89750 222.451 186.571 194.996 604.019
90000 222.219 188.085 196.042 606.346
90250 222.475 188.144 196.706 607.325
90500 224.731 188.87 197.307 610.908
90750 224.608 190.111 197.308 612.027
91000 224.859 190.84 197.534 613.233
91250 226.918 190.68 198.551 616.149
91500 229.304 192.259 199.746 621.308
91750 230.624 193.268 200.138 624.03
92000 230.732 194.974 199.136 624.842
92250 230.159 195.934 200.193 626.286
92500 230.477 197.119 200.302 627.897
92750 232.358 198.24 200.116 630.715
93000 232.852 199.406 201.662 633.919
93250 233.483 199.811 203.149 636.443
93500 233.419 199.931 203.712 637.063
93750 234.13 202.384 203.635 640.149
94000 235.328 203.196 205.407 643.931
94250 236.144 203.762 204.515 644.422
94500 237.481 203.718 204.768 645.967
94750 238.138 203.78 205.054 646.972
95000 237.758 203.367 206.39 647.515
95250 238.187 203.793 206.609 648.589
95500 238.266 203.458 207.389 649.114
95750 239.479 202.04 207.851 649.37
96000 240.813 202.175 207.653 650.641
96250 241.852 203.415 206.557 651.824
96500 241.557 204.752 207.451 653.759
96750 241.474 205.622 208.337 655.433
97000 242.604 205.982 208.507 657.093
97250 243.585 207.286 208.376 659.248
97500 242.548 208.006 208.971 659.526
97750 245.025 209.267 210.04 664.332
98000 245.864 209.441 209.217 664.523
98250 247.193 210.386 209.781 667.36
98500 249.305 211.426 210.637 671.368
98750 249.126 212.488 211.367 672.981
99000 248.874 213.851 211.738 674.463
99250 249.667 213.853 212.089 675.609
99500 249.273 213.679 212.692 675.645
99750 250.366 213.801 214.568 678.734
100000 249.52 213.196 215.817 678.534
100250 249.474 212.403 215.797 677.675
100500 250.159 214.166 217.098 681.423
100750 249.625 214.26 217.023 680.907
101000 249.469 215.062 218.857 683.389
101250 249.362 214.938 219.605 683.904
101500 250.279 214.92 220.016 685.215
101750 250.839 215.322 221.058 687.219
102000 251.996 215.116 221.043 688.155
102250 251.541 215.691 220.722 687.953
102500 251.762 218.401 220.197 690.36
102750 253.063 219.641 220.039 692.743
103000 252.755 220.892 221.71 695.358
103250 251.898 220.802 222.716 695.415
103500 251.339 221.369 223.844 696.553
103750 250.974 222.64 225.022 698.635
104000 251.348 223.323 225.628 700.299
104250 251.128 223.713 225.777 700.619
104500 250.613 224.445 226.281 701.338
104750 252.282 224.94 227.736 704.958
105000 252.399 225.055 228.418 705.872
105250 253.035 224.656 230.45 708.141
105500 253.727 225.793 231.6 711.12
105750 254.296 227.044 232.116 713.456
106000 254.909 227.884 232.744 715.538
106250 255.758 229.486 232.931 718.176
106500 255.841 231.66 234.078 721.579
106750 257.335 232.336 234.052 723.723
107000 257.761 232.335 235.196 725.292
107250 259.077 233.394 236.248 728.719
107500 259.974 234.745 236.21 730.929
107750 261.124 235.478 235.955 732.557
108000 261.744 235.623 234.895 732.262
108250 262.68 235.212 235.06 732.951
108500 264.77 237.837 237.528 740.135
108750 264.783 238.004 238.489 741.276
109000 265.278 238.675 240.564 744.518
109250 264.709 239.3 241.635 745.644
109500 264.627 239.524 241.893 746.044
109750 264.617 239.075 243.198 746.89
110000 265.531 239.59 244.885 750.007
110250 267.121 239.575 244.797 751.493
110500 268.37 240.873 245.204 754.447
110750 269.487 242.2 245.625 757.313
111000 269.909 242.752 246.747 759.409
111250 269.955 243.525 247.184 760.663
111500 270.236 242.93 247.769 760.935
111750 270.769 243.636 248.649 763.054
112000 272.566 244.068 249.317 765.951
112250 273.245 243.57 248.065 764.881
112500 273.786 244.398 248.451 766.635
112750 274.196 244.257 249.084 767.537
113000 276.634 244.371 249.911 770.917
113250 277.003 244.073 250.226 771.302
113500 277.02 244.165 250.488 771.672
113750 279.094 244.705 251.239 775.038
114000 279.231 243.945 251.218 774.395
114250 280.098 244.529 251.088 775.715
114500 279.897 244.208 252.214 776.319
114750 278.377 244.87 253.158 776.405
115000 279.215 244.672 252.261 776.148
115250 280.671 245.242 252.808 778.721
115500 282.39 243.893 254.109 780.391
115750 283.861 244.333 254.256 782.45
116000 285.182 244.263 253.966 783.411
116250 284.859 244.172 256.031 785.062
116500 287.313 245.043 257.477 789.833
116750 288.093 245.652 257.609 791.354
117000 289.046 245.46 258.008 792.514
117250 290.026 246.009 257.335 793.37
117500 291.275 245.852 260.512 797.638
117750 290.515 247.149 259.995 797.659
118000 294.002 250.17 261.426 805.599
118250 294.896 251.466 262.926 809.289
118500 295.367 251.787 263.893 811.047
118750 295.622 251.373 265.657 812.652
119000 295.611 253.143 266.282 815.036
119250 296.669 252.824 265.661 815.153
119500 296.709 252.797 266.436 815.943
119750 297.469 252.199 265.876 815.543
120000 297.876 253.795 267.209 818.88
120250 297.175 254.787 266.95 818.911
120500 298.454 255.219 267.741 821.414
120750 298.159 254.236 268.512 820.906
121000 298.67 253.866 270.275 822.812
121250 297.72 254.588 270.435 822.743
121500 298.144 256.032 269.441 823.617
121750 298.378 256.283 269.45 824.111
122000 299.321 257.475 270.595 827.391
122250 299.317 256.256 270.384 825.956
122500 299.922 256.514 270.76 827.196
122750 299.806 257.425 271.079 828.31
123000 299.442 257.928 272.25 829.62
123250 299.718 259.046 273.211 831.975
123500 300.775 259.535 273.19 833.5
123750 301.714 261.718 273.906 837.339
124000 302.824 261.403 273.672 837.899
124250 303.526 261.636 274.692 839.854
124500 304.658 262.492 275.245 842.394
124750 306.375 262.943 276.64 845.958
125000 306.809 264.52 278.245 849.573
125250 307.234 266.153 279.713 853.1
125500 309.026 267.558 280.761 857.345
125750 309.155 267.801 281.164 858.119
126000 308.498 267.826 282.084 858.408
126250 309.025 267.367 282.414 858.806
126500 309.724 267.498 282.867 860.089
126750 311.679 266.926 283.613 862.218
127000 313.053 268.405 283.498 864.956
127250 314.762 268.892 283.609 867.264
127500 315.465 269.019 284.718 869.203
127750 316.282 270.002 285.622 871.906
128000 316.93 270.807 286.754 874.491
128250 317.769 271.203 287.39 876.362
128500 319.347 271.122 288.855 879.324
128750 320.401 271.044 289.624 881.069
129000 321.841 271.756 290.564 884.162
129250 325.126 271.789 290.127 887.043
129500 324.233 272.409 291.666 888.308
129750 324.544 273.556 292.892 890.992
130000 325.32 275.124 293.604 894.047
130250 325.627 274.343 294.586 894.556
130500 327.376 274.702 296.834 898.912
130750 328.816 275.246 298.02 902.083
131000 328.07 275.745 299.223 903.038
131250 328.222 276.472 300.336 905.03
131500 329.376 278.609 300.583 908.568
131750 330.839 279.889 301.155 911.883
132000 330.593 280.759 301.186 912.537
132250 331.094 281.813 303.334 916.241
132500 330.032 284.059 303.591 917.682
132750 331.218 285.344 302.587 919.149
133000 331.574 285.548 302.669 919.792
133250 330.386 286.122 303.39 919.898
133500 330.871 285.635 303.48 919.986
133750 332.049 286.975 304.443 923.466
134000 333.034 286.791 304.589 924.414
134250 332.972 288.185 305.021 926.178
134500 333.656 289.168 305.543 928.367
134750 334.328 288.749 306.379 929.457
135000 337.057 290.534 306.214 933.806
135250 337.873 289.523 307.236 934.633
135500 339.554 291.161 309.55 940.265
135750 339.596 292.25 311.25 943.096
136000 338.79 290.401 310.138 939.33
136250 338.564 292.003 311.069 941.636
136500 338.288 292.463 312.265 943.015
136750 337.582 293.333 312.161 943.076
137000 338.718 293.373 312.256 944.347
137250 338.348 293.202 312.842 944.392
137500 338.209 294.452 315.282 947.942
137750 339.293 293.461 315.341 948.095
138000 338.967 293.739 315.854 948.561
138250 338.912 295.03 315.034 948.976
138500 339.846 295.486 316.915 952.247
138750 341.55 294.667 318.209 954.426
139000 341.975 295.397 318.355 955.727
139250 341.054 297.664 320.018 958.737
139500 339.491 296.75 320.437 956.678
139750 341.761 299.588 320.467 961.816
140000 341.604 301.659 320.114 963.377
140250 342.563 301.739 321.208 965.51
140500 343.223 301.817 322.074 967.114
140750 342.678 301.407 322.979 967.064
141000 344.121 301.251 322.59 967.962
141250 345.301 300.612 323.769 969.682
141500 346.429 302.687 322.622 971.739
141750 346.538 301.971 324.029 972.539
142000 346.661 302.997 324.32 973.978
142250 347.043 303.618 323.685 974.346
142500 346.622 302.756 324.729 974.106
142750 347.458 302.014 323.528 973.001
143000 347.891 302.017 322.776 972.684
143250 349.048 303.606 323.847 976.501
143500 349.945 304.916 323.209 978.07
143750 349.173 305.562 322.443 977.178
144000 350.955 304.63 321.991 977.576
144250 351.886 303.815 320.926 976.627
144500 353.085 303.548 320.872 977.504
144750 350.802 305.221 323.124 979.147
145000 352.478 305.585 325.345 983.408
145250 352.876 306.696 326.004 985.577
145500 353.167 305.227 325.826 984.22
145750 353.29 305.853 325.791 984.934
146000 352.618 306.31 325.736 984.663
146250 352.055 306.96 327.403 986.417
146500 353.085 308.297 326.69 988.072
146750 354.061 309.71 326.471 990.242
147000 354.776 310.023 326.322 991.121
147250 354.769 311.888 326.288 992.946
147500 354.17 312.759 326.915 993.844
147750 355.784 313.483 325.289 994.555
148000 357.158 313.629 324.551 995.338
148250 357.623 314.261 326.657 998.541
148500 357.404 314.076 326.309 997.789
148750 357.567 313.871 326.479 997.917
149000 357.149 313.772 326.157 997.078
149250 358.739 315.218 326.828 1000.79
149500 359.049 315.907 328.395 1003.35
149750 360.652 315.202 328.904 1004.76
150000 362.164 314.122 329.576 1005.86
150250 363.001 315.174 328.861 1007.04
150500 364.162 317.21 329.569 1010.94
150750 364.838 316.118 329.224 1010.18
151000 365.773 317.93 330.134 1013.84
151250 366.65 318.401 330.629 1015.68
151500 366.745 319.208 330.941 1016.89
151750 368.741 319.705 330.929 1019.37
152000 371.721 318.32 332.49 1022.53
152250 372.774 319.745 333.78 1026.3
152500 373.659 320.894 334.067 1028.62
152750 374.352 321.792 333.16 1029.3
153000 375.947 322.075 333.148 1031.17
153250 375.795 323.465 333.857 1033.12
153500 377.918 323.943 334.32 1036.18
153750 376.949 325.532 335.059 1037.54
154000 376.447 324.545 337.071 1038.06
154250 377.874 324.861 338.492 1041.23
154500 379.429 326.896 338.109 1044.43
154750 379.036 327.443 338.416 1044.9
155000 378.038 327.849 338.373 1044.26
155250 378.491 330.014 338.392 1046.9
155500 380.04 328.63 337.968 1046.64
155750 381.114 329.036 338.902 1049.05
156000 381.854 331.74 338.807 1052.4
156250 383.967 331.29 339.455 1054.71
156500 385.127 330.493 339.765 1055.38
156750 387.663 330.883 341.169 1059.72
157000 388.481 329.796 342.203 1060.48
157250 388.279 331.921 340.419 1060.62
157500 389.572 331.592 341.122 1062.29
157750 391.344 332.764 340.725 1064.83
158000 392.531 333.317 341.985 1067.83
158250 391.877 335.044 343.742 1070.66
158500 391.391 335.459 343.053 1069.9
158750 393.452 335.656 344.852 1073.96
159000 396.74 337.348 344.606 1078.69
159250 398.848 338.534 345.49 1082.87
159500 400.354 339.519 346.997 1086.87
159750 400.779 338.895 348.653 1088.33
160000 401.31 340.697 349.88 1091.89
160250 401.71 342.362 351.876 1095.95
160500 401.496 343.267 350.443 1095.21
160750 402.606 343.827 350.343 1096.78
161000 404.372 345.684 350.837 1100.89
161250 404.807 345.424 351.474 1101.7
161500 405.682 347.243 353.039 1105.96
161750 407.395 348.54 353.261 1109.2
162000 409.321 350.481 353.549 1113.35
162250 409.015 351.748 354.224 1114.99
162500 409.259 351.547 354.017 1114.82
162750 410.508 352.958 354.284 1117.75
163000 410.986 353.624 355.725 1120.34
163250 412.359 353.232 356.644 1122.24
163500 413.487 352.589 356.341 1122.42
163750 412.315 352.691 357.086 1122.09
164000 413.117 352.32 356.111 1121.55
164250 413.272 353.509 356.917 1123.7
164500 414.447 354.638 357.861 1126.95
164750 416.756 356.123 357.231 1130.11
165000 417.934 355.155 357.374 1130.46
165250 418.82 357.028 357.425 1133.27
165500 421.882 356.801 358.457 1137.14
165750 423.009 356.428 359.777 1139.21
166000 424.693 358.063 360.448 1143.2
166250 425.28 359.086 362.311 1146.68
166500 426.349 358.2 360.672 1145.22
166750 429.273 359.852 361.62 1150.74
167000 429.779 360.914 363.578 1154.27
167250 429.644 361.758 364.404 1155.81
167500 430.274 362.374 366.079 1158.73
167750 432.407 363.487 366.452 1162.35
168000 431.469 363.066 365.501 1160.04
168250 431.428 364.244 365.275 1160.95
168500 432.017 365.365 364.509 1161.89
168750 432.055 365.849 367.52 1165.42
169000 432.641 365.327 369.505 1167.47
169250 435.623 365.625 369.84 1171.09
169500 437.398 366.393 368.128 1171.92
169750 437.498 368.351 368.744 1174.59
170000 436.683 368.738 370.7 1176.12
170250 436.334 368.503 368.827 1173.66
170500 438.617 369.987 368.808 1177.41
170750 441.192 369.709 369.122 1180.02
171000 440.195 370.326 369.268 1179.79
171250 440.965 369.791 368.878 1179.63
171500 442.131 368.122 369.481 1179.73
171750 444.19 367.681 369.512 1181.38
172000 445.433 367.584 368.52 1181.54
172250 446.007 368.837 370.681 1185.53
172500 445.513 368.797 370.528 1184.84
172750 447.388 369.193 371.172 1187.75
173000 447.918 369.846 371.387 1189.15
173250 447.548 369.266 372.217 1189.03
173500 447.571 369.729 374.305 1191.61
173750 449.804 370.44 375.225 1195.47
174000 450.915 372.429 374.493 1197.84
